speakerID,reference_path,target_path,target_text,reference_duration,target_duration,split
spk_37_0006,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0006\37_0006.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0006\37_0007.wav,"Và đặc biệt trong quy hoạch ở khu vực phía đông đường Bình Minh, khu Lâm Viên bãi tắm ấy. Ngoài những cái không gian dành cho các nhà hàng, khách sạn, câu lạc bộ biển thì chúng tôi rất quan tâm đến vấn đề dành cái không gian và cái khoản đầu tư để xây dựng cái khu vui chơi giải trí dành cho trẻ em",16.101995464852607,21.070997732426303,train
spk_37_0017,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0017\37_0023.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0017\37_0024.wav,"Trước mắt đưa đối tượng đấy về trạm địa phương để chăm sóc, xác minh hoàn cảnh đối tượng, tìm hiểu nhân thân Nếu mà những đối tượng đấy có hoàn cảnh thật, đối tượng thật thì chúng tôi sẽ tiến hành làm thủ tục để đưa họ vào trung tâm bảo trợ xã hội tỉnh",29.23199546485261,16.831020408163266,train
spk_37_0022,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0022\37_0030.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0022\37_0031.wav,"Đối với những người mà không xác minh được quê quán nhân thân hoặc xác minh được nhưng mà không còn người có nghĩa vụ và trách nhiệm chăm sóc thì giao cho ủy ban nhân dân phường xã phối hợp với phòng lao động làm hồ sơ để đưa vào cơ sở trợ giúp xã hội. Ngoài những biện pháp đó thì chúng tôi cũng mong muốn là người dân chúng ta cũng không nên cho tiền người lang thang xin ăn ở tại các ngã ba, ngã tư, các tuyến phố trong địa bàn thành phố",17.761020408163265,27.251020408163264,train
spk_37_0025,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0025\37_0034.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0025\37_0035.wav,"Thời gian vừa qua đã tuyên truyền vận động các hộ kinh doanh, nhà ở kết hợp kinh doanh lắp đặt hệ thống tổ liên gia an toàn phòng cháy chữa cháy.",11.943990929705215,10.510997732426304,train
spk_37_0038,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0038\37_0050.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0038\37_0051.wav,Theo dự kiến của Quý ba năm hai nghìn không trăm hai ba này thì Bến xe phía Nam thành phố Vinh sẽ đưa vào hoạt động,22.56299319727891,8.31,train
spk_37_0048,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0048\37_0061.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0048\37_0062.wav,Qua quá trình thực hiện các dự án trên địa bàn thì cũng được cư dân là đồng tình ủng hộ rất là cao,24.752,5.999,train
spk_37_0053,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0053\37_0068.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0053\37_0069.wav,"Từ nay đến năm hai ngàn không trăm hai lăm thì triển khai lập một quy hoạch chung của Nam Giang và Trung cường theo nhiệm vụ đã xác định tăng cường công tác quản lý trật tự xây dựng, tập trung huy động ngân sách và nguồn vốn ngoài ngân sách để đầu tư kết cấu hạ tầng kỹ thuật hạ tầng xã hội đồng bộ theo các đồ án quy hoạch được dựng",18.66,18.836,train
spk_37_0057,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0057\37_0073.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0057\37_0074.wav,hơn nữa trong cái việc đôn đốc cũng như là tuyên truyền và để chỉ đạo các ban ngành đoàn thể tiếp tục là phối hợp với cả ba nhà trường để thường chuyên nhắc nhở những hộ kinh doanh ở trên cổng trường. Và nhà trường tiếp tục tuyên truyền cho học sinh nâng cao ý thức đảm bảo trong quá trình an toàn vệ sinh thực phẩm,15.465,21.165,train
spk_37_0070,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0070\37_0092.wav,D:\hustmedia\python\tts\vie_neu\train\vimd_nghean\train\spk_37_0070\37_0093.wav,Nếu như mà có cái quyết định của Thủ tướng Chính phủ cũng như các văn bản chỉ đạo của Bộ Công Thương của Tập đoàn Điện lực Việt Nam và Tổng công ty Điện lực miền Bắc thì sẽ có tiềm năng phát triển thì đang còn lớn và cũng sẽ có mang lại lợi ích cho cả đôi bên của các khách hàng cũng như là của ngành điện,16.121,21.671,train

